,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
162,One Of Me,The Lockdown Sessions,2021-10-22,13,2D4YLcUe5KatDI1pOIhjYo,spotify:track:2D4YLcUe5KatDI1pOIhjYo,0.175,0.711,0.566,0.0,0.166,-4.946,0.0512,144.093,0.529,0,161666
163,E-Ticket,The Lockdown Sessions,2021-10-22,14,1Hhy4uDHOH8iHQrVf9VzTx,spotify:track:1Hhy4uDHOH8iHQrVf9VzTx,0.000686,0.389,0.942,0.0,0.155,-2.062,0.0661,138.106,0.288,8,198817
164,Finish Line,The Lockdown Sessions,2021-10-22,15,4qeN1LUgUbvN0hurrnpBzU,spotify:track:4qeN1LUgUbvN0hurrnpBzU,0.0864,0.461,0.801,0.0,0.193,-3.397,0.0489,171.795,0.481,10,264846
165,Stolen Car,The Lockdown Sessions,2021-10-22,16,6UvwrFzxAu9NYygELHH6hJ,spotify:track:6UvwrFzxAu9NYygELHH6hJ,0.00664,0.507,0.765,7.41e-05,0.223,-4.274,0.0321,139.888,0.254,9,337753
166,I'm Not Gonna Miss You,The Lockdown Sessions,2021-10-22,17,3t2q38lpnpiBFbY1Ebbvo6,spotify:track:3t2q38lpnpiBFbY1Ebbvo6,0.0702,0.502,0.471,0.000566,0.229,-6.461,0.0278,126.967,0.108,8,176554
167,Merry Christmas,The Lockdown Sessions,2021-10-22,18,6Y8UVqfKQNcaxyhbvDcgeu,spotify:track:6Y8UVqfKQNcaxyhbvDcgeu,0.242,0.592,0.923,2.55e-06,0.101,-1.96,0.0346,114.018,0.682,10,208546
168,Cold Heart - PNAU Remix,The Lockdown Sessions,2021-10-22,1,1mRczvKYWfxBOLP089Afi4,spotify:track:1mRczvKYWfxBOLP089Afi4,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,0.934,7,202735
169,Always Love You,The Lockdown Sessions,2021-10-22,2,3jUXGUnjf1fomwJXQZFAh2,spotify:track:3jUXGUnjf1fomwJXQZFAh2,0.246,0.686,0.651,6.4e-06,0.114,-4.935,0.0408,122.987,0.243,22,257237
170,Learn To Fly,The Lockdown Sessions,2021-10-22,3,68bWJisG7NVCfex5ggmP2h,spotify:track:68bWJisG7NVCfex5ggmP2h,0.552,0.563,0.537,0.0,0.0655,-6.138,0.0794,173.785,0.658,3,211213
171,After All,The Lockdown Sessions,2021-10-22,4,2F0nvGPO9vsrpr6SN5Dw0F,spotify:track:2F0nvGPO9vsrpr6SN5Dw0F,0.361,0.501,0.556,0.000133,0.115,-5.628,0.0266,82.017,0.165,4,208714
172,Chosen Family,The Lockdown Sessions,2021-10-22,5,5VxeS10VXYXQ0ggfhYGCww,spotify:track:5VxeS10VXYXQ0ggfhYGCww,0.496,0.497,0.586,0.0,0.0698,-6.985,0.0413,73.016,0.283,3,280381
173,The Pink Phantom,The Lockdown Sessions,2021-10-22,6,49EQvl2Bf8b4lNyMx3gVna,spotify:track:49EQvl2Bf8b4lNyMx3gVna,0.539,0.351,0.481,0.000206,0.0609,-8.03,0.0406,64.485,0.465,2,253053
174,It's a sin - global reach mix,The Lockdown Sessions,2021-10-22,7,1TNq6LNt5SfHmQYsw7Jhl4,spotify:track:1TNq6LNt5SfHmQYsw7Jhl4,0.0511,0.615,0.84,6.08e-05,0.231,-6.413,0.0362,125.027,0.204,4,284904
175,Nothing Else Matters,The Lockdown Sessions,2021-10-22,8,3nJBFM4o6pIYKYV4WQAAHx,spotify:track:3nJBFM4o6pIYKYV4WQAAHx,0.00516,0.452,0.668,1.45e-05,0.112,-5.118,0.0292,142.548,0.142,4,395785
176,Orbit,The Lockdown Sessions,2021-10-22,9,2tzFw7D8wEymJ5FhZdQ2Es,spotify:track:2tzFw7D8wEymJ5FhZdQ2Es,0.00282,0.72,0.804,0.143,0.129,-4.231,0.0358,114.002,0.822,2,208225
177,Simple Things,The Lockdown Sessions,2021-10-22,10,2nyZ8A7rcYC56IDQPko4ov,spotify:track:2nyZ8A7rcYC56IDQPko4ov,0.263,0.506,0.795,7.68e-05,0.142,-4.628,0.0299,88.057,0.277,2,251585
178,Beauty In The Bones,The Lockdown Sessions,2021-10-22,11,70oYYUNsq8AWAp2EThwOap,spotify:track:70oYYUNsq8AWAp2EThwOap,0.00868,0.582,0.821,6.36e-06,0.0846,-4.417,0.0843,155.003,0.16,2,230870
179,One Of Me,The Lockdown Sessions,2021-10-22,12,540F845jQGIbgEajisXboy,spotify:track:540F845jQGIbgEajisXboy,0.16,0.708,0.593,0.0,0.169,-4.921,0.0529,144.09,0.507,0,161666
