,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
71,Visiting Hours,= (Tour Edition),2022-05-27,12,446RPBrDh8kVcYfDdnNFmp,spotify:track:446RPBrDh8kVcYfDdnNFmp,0.77,0.471,0.396,0.0,0.0729,-6.654,0.0336,149.609,0.263,35,215506
72,Sandman,= (Tour Edition),2022-05-27,13,2XKGiJ6CtXxlWdBpDiTa7y,spotify:track:2XKGiJ6CtXxlWdBpDiTa7y,0.882,0.822,0.3,9.15e-05,0.0665,-8.034,0.0673,125.951,0.734,32,259333
73,Be Right Now,= (Tour Edition),2022-05-27,14,3hPXXNKlZvD2l4KIgbo65V,spotify:track:3hPXXNKlZvD2l4KIgbo65V,0.00494,0.501,0.684,0.000478,0.0524,-6.706,0.0566,131.952,0.442,32,211080
74,Afterglow,= (Tour Edition),2022-05-27,15,5hyNzOLHCyYjvrIVIIVIWI,spotify:track:5hyNzOLHCyYjvrIVIIVIWI,0.698,0.641,0.324,0.0,0.328,-5.851,0.0299,110.184,0.273,57,185486
75,One Life,= (Tour Edition),2022-05-27,16,5DXKvETa1xppOmd4CDxs9S,spotify:track:5DXKvETa1xppOmd4CDxs9S,0.114,0.573,0.593,2.65e-06,0.122,-7.225,0.0299,159.978,0.425,59,231546
76,Penguins,= (Tour Edition),2022-05-27,17,2kvwspbTT9ZyQNAv9OVYjq,spotify:track:2kvwspbTT9ZyQNAv9OVYjq,0.79,0.709,0.324,0.0,0.1,-10.975,0.0444,99.906,0.47,41,248866
77,I Will Remember You,= (Tour Edition),2022-05-27,18,4yVsZALRYQ2cBJCViCTTp0,spotify:track:4yVsZALRYQ2cBJCViCTTp0,0.404,0.743,0.807,5.49e-06,0.0723,-5.917,0.0538,145.01,0.721,42,214493
78,Welcome To The World,= (Tour Edition),2022-05-27,19,6GqJ3mte0bfx6cIrWlVDW6,spotify:track:6GqJ3mte0bfx6cIrWlVDW6,0.818,0.334,0.307,5.55e-05,0.362,-8.522,0.033,169.53,0.426,38,176813
79,The Joker And The Queen (feat. Taylor Swift),= (Tour Edition),2022-05-27,20,2dk3qSc7779ecP8w6rNoT9,spotify:track:2dk3qSc7779ecP8w6rNoT9,0.924,0.528,0.309,2.1e-06,0.282,-7.398,0.0329,133.83,0.307,60,185422
80,2step (feat. Lil Baby),= (Tour Edition),2022-05-27,21,3vRMNhtsTzM25UbTeuKGrx,spotify:track:3vRMNhtsTzM25UbTeuKGrx,0.138,0.693,0.643,0.0,0.108,-5.867,0.0828,95.055,0.477,33,163449
81,Bad Habits (feat. Bring Me The Horizon),= (Tour Edition),2022-05-27,22,5L9Ptz7hUfTavjjdRRiNXR,spotify:track:5L9Ptz7hUfTavjjdRRiNXR,0.0305,0.59,0.849,0.0,0.11,-4.691,0.0792,131.018,0.178,52,250763
82,Peru,= (Tour Edition),2022-05-27,23,1PvSHEmS4wNXTft6I0ugOZ,spotify:track:1PvSHEmS4wNXTft6I0ugOZ,0.572,0.956,0.417,0.00071,0.0782,-7.892,0.0926,108.015,0.714,34,187111
83,Tides,=,2021-10-29,1,2JiHR4gCDjXwYVRDmwdk95,spotify:track:2JiHR4gCDjXwYVRDmwdk95,0.0167,0.631,0.825,0.0,0.122,-3.971,0.0433,129.942,0.427,64,195760
84,Shivers,=,2021-10-29,2,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822,87,207853
85,First Times,=,2021-10-29,3,5QYnNhTKsN3kE7OaqILA1U,spotify:track:5QYnNhTKsN3kE7OaqILA1U,0.84,0.587,0.267,0.0,0.121,-9.206,0.0349,98.845,0.352,67,185853
86,Bad Habits,=,2021-10-29,4,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,0.537,85,230746
87,Overpass Graffiti,=,2021-10-29,5,4btFHqumCO31GksfuBLLv3,spotify:track:4btFHqumCO31GksfuBLLv3,0.00253,0.52,0.849,0.0,0.119,-3.794,0.186,175.908,0.774,73,236906
88,The Joker And The Queen,=,2021-10-29,6,3NuLxTXowTRcguTh9RsPmM,spotify:track:3NuLxTXowTRcguTh9RsPmM,0.952,0.567,0.211,5.24e-05,0.275,-9.975,0.0315,134.019,0.289,58,185586
89,Leave Your Life,=,2021-10-29,7,0YbI9lWxUBsCJLb6EBydkr,spotify:track:0YbI9lWxUBsCJLb6EBydkr,0.236,0.578,0.558,0.0,0.143,-5.438,0.0872,75.087,0.54,58,223866
90,Collide,=,2021-10-29,8,5sv0WnUs74Orn6GoPmC5im,spotify:track:5sv0WnUs74Orn6GoPmC5im,0.113,0.672,0.73,0.0,0.0612,-4.77,0.0372,123.969,0.559,61,210213
91,2step,=,2021-10-29,9,2SUxn2O9NHL6GHGQFgwCY0,spotify:track:2SUxn2O9NHL6GHGQFgwCY0,0.169,0.763,0.661,0.0,0.117,-5.592,0.056,95.002,0.632,70,153626
92,Stop The Rain,=,2021-10-29,10,0VuDtcT7H4CAljLZEH021x,spotify:track:0VuDtcT7H4CAljLZEH021x,0.0122,0.686,0.765,0.0,0.127,-4.778,0.118,99.998,0.743,59,203493
93,Love In Slow Motion,=,2021-10-29,11,1i4F583d9v9RabcfOlKKVL,spotify:track:1i4F583d9v9RabcfOlKKVL,0.668,0.485,0.54,0.0,0.0849,-5.4,0.0253,62.631,0.426,59,190933
94,Visiting Hours,=,2021-10-29,12,0rt63HYAAIzUZo5O2D0uA6,spotify:track:0rt63HYAAIzUZo5O2D0uA6,0.77,0.471,0.396,0.0,0.0729,-6.654,0.0336,149.609,0.263,72,215506
95,Sandman,=,2021-10-29,13,2Ldb2ytuC9AxhpAkVEJBI6,spotify:track:2Ldb2ytuC9AxhpAkVEJBI6,0.882,0.822,0.3,9.15e-05,0.0665,-8.034,0.0673,125.951,0.734,57,259333
96,Be Right Now,=,2021-10-29,14,3BiiSLo0wyHAY7lpCEO6ge,spotify:track:3BiiSLo0wyHAY7lpCEO6ge,0.00494,0.501,0.684,0.000478,0.0524,-6.706,0.0566,131.952,0.442,56,211080
97,2step (feat. Lil Baby),2step (The Remixes),2021-10-29,1,1qqSQhDwPXl8WY0Fxx9kIt,spotify:track:1qqSQhDwPXl8WY0Fxx9kIt,0.138,0.693,0.643,0.0,0.108,-5.867,0.0828,95.055,0.477,54,163449
98,2step (feat. Ultimo),2step (The Remixes),2021-10-29,2,4EDm3svAC8LREh5b6fHZzt,spotify:track:4EDm3svAC8LREh5b6fHZzt,0.16,0.727,0.69,0.0,0.137,-5.063,0.0721,94.935,0.685,40,154160
99,2step (feat. Potter Payper),2step (The Remixes),2021-10-29,3,0uW73walIcF9UfA2G5ZfpF,spotify:track:0uW73walIcF9UfA2G5ZfpF,0.14,0.726,0.671,0.0,0.139,-5.402,0.161,95.053,0.552,36,153446
100,2step (feat. Antytila),2step (The Remixes),2021-10-29,4,0EgNmGWjnYm3FMyaOW5xsM,spotify:track:0EgNmGWjnYm3FMyaOW5xsM,0.235,0.506,0.695,0.0,0.151,-5.185,0.105,93.75,0.599,40,153213
101,2step (feat. Leto),2step (The Remixes),2021-10-29,5,0Ooo1Wnehm31UPovrjLRWW,spotify:track:0Ooo1Wnehm31UPovrjLRWW,0.273,0.73,0.701,0.0,0.0657,-5.318,0.0447,94.97,0.522,43,154453
102,2step (feat. Ellinoora),2step (The Remixes),2021-10-29,6,7nPp9jinMqAmiAnNfYzY7c,spotify:track:7nPp9jinMqAmiAnNfYzY7c,0.167,0.705,0.741,0.0,0.216,-4.33,0.0683,94.962,0.615,33,153373
103,2step (feat. 1.Cuz),2step (The Remixes),2021-10-29,7,3Clcn0JjqakucsAAAMV646,spotify:track:3Clcn0JjqakucsAAAMV646,0.157,0.674,0.663,0.0,0.13,-5.084,0.084,94.818,0.617,41,153226
104,2step (feat. Budjerah),2step (The Remixes),2021-10-29,8,3dvDgPBAxqetLJvDmRDtwC,spotify:track:3dvDgPBAxqetLJvDmRDtwC,0.212,0.727,0.621,0.0,0.114,-4.784,0.0555,94.958,0.565,38,153426
105,2step (Star.One Remix),2step (The Remixes),2021-10-29,9,5DKhoaXr9zqKis4SY5BiSm,spotify:track:5DKhoaXr9zqKis4SY5BiSm,0.254,0.669,0.916,0.00117,0.356,-4.961,0.038,129.956,0.54,31,205186
